"experiences_offered","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","requires_license","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","reviews_per_month"
"none","within an hour",1,0.89,"f","t","t","Bay Village","t","Apartment","Entire home/apt",4,"1","2",2,"Real Bed",225,1000,3500,100,100,1,0,2,1125,0,0,0,0,11,96,10,10,10,10,9,9,"f","f","strict","f","f",1,0.99
"none","within an hour",1,1,"f","t","f","Bay Village","t","House","Entire home/apt",5,"2.5","2",4,"Real Bed",500,3200,3500,1000,250,4,0,2,1125,13,43,73,348,3,73,9,5,10,10,10,7,"f","f","strict","f","f",4,1.55
"none","within an hour",1,1,"f","t","f","Bay Village","t","House","Entire home/apt",5,"2.5","2",4,"Real Bed",500,1000,3500,1000,250,1,0,2,1125,3,33,63,338,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","t","strict","f","f",4,1.97090844821492
"none","within an hour",1,1,"f","t","t","Bay Village","t","Bed & Breakfast","Private room",2,"2","1",1,"Real Bed",99,1055,3500,100,45,1,0,2,1125,5,25,55,325,65,93,9,9,10,10,10,9,"f","t","moderate","f","f",3,4.05
"none","within a few hours",1,0.75,"f","t","t","Leather District","t","Apartment","Private room",2,"1","1",2,"Real Bed",245,1000,3500,2500,100,1,0,1,1125,30,60,90,365,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","moderate","f","f",2,1.97090844821492
"none","within a few hours",1,0.75,"f","t","t","Leather District","t","Condominium","Entire home/apt",4,"1","2",3,"Real Bed",390,1000,3500,2500,95,4,150,1,1125,25,55,85,360,30,95,10,10,10,10,9,9,"f","f","moderate","f","f",2,1.24
"none","within an hour",1,1,"t","t","t","Leather District","t","Apartment","Private room",2,"1","1",1,"Real Bed",159,1000,3500,100,50,2,0,1,1125,0,0,0,0,37,100,10,10,10,10,10,10,"f","f","flexible","f","f",2,3.57
"none","within an hour",1,1,"t","t","t","Leather District","t","Condominium","Entire home/apt",4,"2","2",2,"Real Bed",295,1000,3500,200,80,4,40,1,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","moderate","f","f",2,1.97090844821492
"none","within an hour",1,1,"f","t","t","Leather District","t","Condominium","Entire home/apt",2,"1","1",1,"Real Bed",179,1600,3800,100,100,3,30,2,1125,0,0,0,0,2,100,10,10,10,10,9,10,"f","f","moderate","f","f",1,0.19
"none","within a few hours",0.89,0.45,"f","t","t","Chinatown","t","Apartment","Entire home/apt",4,"2","2",2,"Real Bed",399,1000,8500,100,150,1,0,7,365,29,59,89,364,1,100,10,10,10,10,10,10,"f","f","super_strict_30","f","t",79,0.04
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",219,1000,3500,100,100,1,0,15,1125,29,59,89,175,1,100,4,10,10,10,10,8,"f","f","flexible","f","f",136,0.54
"none","within a few hours",0.89,0.45,"f","t","t","Chinatown","t","Apartment","Entire home/apt",2,"1","1",1,"Real Bed",289,1000,6900,100,150,1,0,7,365,29,59,89,364,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","super_strict_30","f","t",79,1.97090844821492
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",219,1000,3500,100,100,1,0,15,1125,29,59,89,179,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",136,1.97090844821492
"none","within an hour",1,0.97,"f","t","t","Chinatown","t","Apartment","Entire home/apt",4,"1","2",3,"Real Bed",295,1000,3500,300,60,3,30,3,90,17,38,62,337,33,86,9,9,9,9,8,8,"f","f","strict","f","t",5,1.36
"none","within a few hours",0.71,0.98,"f","t","t","Chinatown","t","Loft","Entire home/apt",4,"1","2",2,"Real Bed",259,1000,3500,400,95,2,10,3,1125,9,33,63,109,3,93,10,10,10,10,9,9,"f","t","strict","f","f",58,0.98
"none","within an hour",1,0.97,"f","t","t","Chinatown","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",185,1000,3500,200,60,1,25,3,1125,15,41,71,346,36,91,9,10,9,9,9,9,"f","f","strict","f","t",5,1.53
"none","within a few hours",0.71,0.98,"f","t","t","Chinatown","t","Loft","Entire home/apt",4,"1","2",2,"Real Bed",269,1000,3500,400,95,2,10,3,1125,6,23,50,77,1,100,10,10,10,10,10,10,"f","t","strict","f","f",58,0.36
"none","within an hour",1,0.94,"f","t","f","Chinatown","t","Apartment","Entire home/apt",4,"1","0",2,"Real Bed",109,1000,3500,100,40,2,25,1,1125,5,16,46,309,58,88,9,9,9,10,9,9,"f","f","strict","f","f",11,4.55
"none","within an hour",1,0.97,"f","t","t","Chinatown","t","Apartment","Entire home/apt",4,"1","2",3,"Real Bed",295,1000,3500,300,60,3,25,3,1125,12,29,59,334,30,85,9,10,9,9,9,8,"f","f","strict","f","t",5,1.25
"none","within a few hours",0.96,0.68,"f","t","t","Chinatown","t","Apartment","Entire home/apt",5,"2","2",3,"Real Bed",389,1000,6870,100,100,1,0,3,1125,25,25,25,92,22,92,9,9,9,9,10,9,"f","f","moderate","f","t",61,0.74
"none","within an hour",1,1,"f","t","t","Chinatown","t","Apartment","Entire home/apt",4,"1","2",2,"Real Bed",215,1000,3500,400,125,4,15,2,1125,6,36,63,338,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","t","strict","f","f",5,1.97090844821492
"none","within an hour",1,0.97,"f","t","t","Chinatown","t","Apartment","Entire home/apt",8,"2","4",6,"Real Bed",375,1000,3500,400,120,3,40,4,1125,12,29,53,328,8,95,10,10,10,10,10,10,"f","f","strict","f","t",5,0.33
"none","within an hour",1,1,"f","t","f","Chinatown","t","Apartment","Entire home/apt",4,"1","1",2,"Real Bed",270,1000,3500,250,100,2,10,4,1125,4,17,46,46,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","t","strict","f","f",3,1.97090844821492
"none","within a few hours",0.96,0.68,"f","t","t","Chinatown","t","Apartment","Entire home/apt",5,"2","2",3,"Real Bed",285,1000,7470,100,100,1,0,15,1125,30,60,90,148,2,100,10,9,10,10,10,10,"f","f","moderate","f","t",61,0.09
"none","within an hour",0.98,0.72,"f","t","f","Chinatown","t","Apartment","Entire home/apt",6,"1","2",2,"Real Bed",296,1000,3500,100,69,4,20,1,1125,0,18,48,323,55,95,10,10,10,10,10,9,"f","f","moderate","f","f",2,5.31
"none","within an hour",1,1,"f","t","t","Chinatown","t","Apartment","Private room",3,"1.5","1",2,"Real Bed",80,1000,3500,100,10,1,30,1,1125,22,52,82,357,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",219,1000,3500,100,100,1,0,15,1125,29,59,89,179,2,100,10,10,10,10,10,10,"f","f","strict","f","f",136,0.27
"none","within an hour",1,0.75,"f","t","t","Chinatown","t","Loft","Entire home/apt",2,"1","0",1,"Real Bed",120,1000,3500,100,10,1,10,3,1125,0,0,0,60,13,87,10,8,9,10,9,9,"f","f","moderate","f","f",1,2.15
"none","within an hour",1,1,"f","t","t","Chinatown","t","Apartment","Entire home/apt",4,"1","2",2,"Real Bed",209,1000,3500,400,120,4,15,2,1125,9,39,66,341,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","t","strict","f","f",5,1.97090844821492
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",5,"2","2",2,"Real Bed",399,1000,3500,100,100,1,0,15,1125,29,59,89,179,1,100,10,10,10,10,10,8,"f","f","strict","f","f",136,0.77
"none","within an hour",1,0.97,"t","t","t","Chinatown","t","Apartment","Private room",2,"2","1",1,"Real Bed",159,1000,3500,200,20,1,0,1,31,4,15,15,15,80,98,10,10,10,10,10,10,"f","f","strict","f","f",2,6.42
"none","within a few hours",0.92,0.86,"f","t","t","Chinatown","t","Apartment","Entire home/apt",3,"1","0",2,"Real Bed",125,1000,3500,400,10,2,10,2,1125,0,0,12,12,20,91,10,9,10,10,9,9,"f","f","moderate","f","f",1,1.91
"none","within a day",0.71,0.99,"f","t","t","Chinatown","f","Apartment","Private room",2,"1","1",1,"Real Bed",80,1000,3500,100,100,1,0,2,1125,11,28,56,331,5,84,9,8,9,10,9,9,"f","f","flexible","f","f",1,2.5
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",5,"2","2",2,"Real Bed",299,1000,3500,100,100,1,0,3,1125,29,59,89,175,1,80,8,8,10,10,8,8,"f","f","strict","f","f",136,0.58
"none","within a day",1,0.63,"f","t","t","Chinatown","f","Apartment","Private room",1,"1","1",1,"Real Bed",100,1000,3500,300,30,1,0,1,1125,0,0,30,120,5,100,10,10,10,10,10,10,"f","f","strict","f","f",1,2.34
"none","within a few hours",0.96,0.68,"f","t","t","Chinatown","t","Apartment","Entire home/apt",4,"1","1",2,"Real Bed",229,1000,3500,100,100,1,0,7,1125,30,60,90,148,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","t",61,1.97090844821492
"none","within an hour",1,1,"f","t","t","Chinatown","t","Condominium","Entire home/apt",8,"1","3",4,"Real Bed",383,1000,11450,100,70,2,25,1,20,9,9,9,9,57,86,9,9,10,10,9,9,"f","t","strict","f","f",1,4.22
"none","within an hour",1,0.94,"f","t","f","Chinatown","t","Apartment","Entire home/apt",4,"1","1",2,"Real Bed",149,1000,3500,100,40,2,25,2,1125,7,26,56,331,40,83,9,8,9,10,9,9,"f","f","strict","f","f",11,3.25
"none","within an hour",1,0.97,"f","t","t","Chinatown","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",250,1000,3500,300,60,2,20,3,1125,13,43,73,348,33,97,10,10,10,10,9,9,"f","f","strict","f","t",5,1.38
"none","within a few hours",0.89,0.45,"f","t","t","Chinatown","t","Apartment","Entire home/apt",2,"1","1",1,"Real Bed",349,1000,5770,100,150,1,0,3,365,30,60,90,365,4,90,9,10,10,10,10,10,"f","f","super_strict_30","f","t",79,0.09
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",5,"2","2",2,"Real Bed",199,1000,3500,100,100,1,0,2,1125,26,50,80,166,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",136,1.97090844821492
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",169,1000,3500,100,100,1,0,3,1125,24,54,84,170,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",136,1.97090844821492
"none","within a day",0.9,0.6,"f","t","t","Chinatown","t","Apartment","Private room",2,"1","1",1,"Real Bed",300,1000,3500,100,60,1,0,2,180,0,0,0,74,4,100,10,10,10,10,10,10,"f","f","moderate","f","f",1,2.4
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",169,1000,3500,100,100,1,0,3,1125,27,57,87,173,1,80,8,8,8,8,8,8,"f","f","strict","f","f",136,0.14
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",349,1000,3500,100,100,1,0,3,1125,30,60,90,117,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",136,1.97090844821492
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",5,"2","2",2,"Real Bed",319,1000,3500,100,100,1,0,15,1125,29,59,89,179,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",136,1.97090844821492
"none","within an hour",1,0.92,"f","t","t","Chinatown","f","Apartment","Shared room",1,"1","1",1,"Real Bed",100,1000,3500,100,100,1,0,1,1125,20,50,80,80,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",1,1.97090844821492
"none","within an hour",1,0.97,"t","t","t","Chinatown","t","Apartment","Entire home/apt",4,"2","2",2,"Real Bed",179,1000,3500,300,20,2,20,1,1125,0,0,0,0,3,100,10,10,10,10,9,10,"f","f","strict","f","f",2,0.44
"none","within a few hours",0.96,0.68,"f","t","t","Chinatown","t","Apartment","Entire home/apt",5,"2","2",3,"Real Bed",289,1000,3500,100,100,1,0,7,1125,30,60,90,148,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","moderate","f","t",61,1.97090844821492
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",3,"1","0",1,"Real Bed",209,1000,3500,100,100,1,0,15,1125,29,59,89,206,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",136,1.97090844821492
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",5,"2","2",2,"Real Bed",199,1000,3500,100,100,1,0,3,1125,29,59,89,175,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",136,1.97090844821492
"none","within a few hours",1,0.9,"f","t","f","Chinatown","t","Apartment","Entire home/apt",3,"1","2",1,"Real Bed",319,1000,3500,1000,100,1,0,4,90,10,28,29,29,5,96,9,10,8,10,10,10,"f","f","strict","f","f",1,1.09
"none","within a day",0.9,1,"f","t","f","Chinatown","t","Apartment","Entire home/apt",4,"1","1",1,"Real Bed",135,1000,3500,100,20,1,15,4,1125,0,29,37,37,2,80,8,7,8,8,9,8,"f","f","flexible","f","f",1,0.42
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",169,1000,3500,100,100,1,0,3,1125,27,57,87,173,1,100,10,10,10,8,10,10,"f","f","strict","f","f",136,0.13
"none","within a few hours",0.92,0.67,"f","t","f","Chinatown","t","Apartment","Private room",2,"1","1",1,"Real Bed",95,1000,3500,100,5,1,0,1,5,0,0,0,0,2,80,10,10,8,6,10,10,"f","f","flexible","f","f",2,1.15
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",5,"2","2",2,"Real Bed",319,1000,3500,100,100,1,0,15,1125,29,59,89,179,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",136,1.97090844821492
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",169,1000,3500,100,100,1,0,2,1125,30,60,90,176,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",136,1.97090844821492
"none","within an hour",1,0.88,"f","t","t","Chinatown","f","Apartment","Entire home/apt",4,"1","1",1,"Real Bed",287,1799,4999,100,100,1,0,2,1125,7,23,44,293,10,98,10,10,10,10,9,10,"f","f","strict","f","f",1,0.44
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",219,1000,3500,100,100,1,0,15,1125,29,59,89,179,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",136,1.97090844821492
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",219,1000,3500,100,100,1,0,15,1125,29,59,89,179,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",136,1.97090844821492
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",5,"2","2",2,"Real Bed",199,1000,3500,100,100,1,0,3,1125,29,59,89,175,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",136,1.97090844821492
"none","within a few hours",0.94,0.73,"f","t","f","Chinatown","t","Apartment","Private room",2,"1","1",1,"Real Bed",95,1000,3500,100,5,1,0,1,1,0,0,0,0,2,100,10,10,10,10,9,10,"f","f","flexible","f","f",1,2
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",219,1000,3500,100,100,1,0,15,1125,29,59,89,179,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",136,1.97090844821492
"none","within an hour",1,0.69,"f","t","t","Chinatown","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",242,1000,3500,100,100,1,0,10,1125,16,46,76,351,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","moderate","f","f",13,1.97090844821492
"none","within a few hours",0.96,0.68,"f","t","t","Chinatown","t","Apartment","Entire home/apt",5,"2","2",3,"Real Bed",389,1000,6870,100,100,1,0,3,1125,26,53,79,79,3,87,10,10,9,10,7,8,"f","f","moderate","f","t",61,0.63
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",169,1000,3500,100,100,1,0,3,1125,27,57,87,173,1,100,10,10,10,10,10,10,"f","f","strict","f","f",136,0.2
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",5,"2","2",2,"Real Bed",199,1000,3500,100,100,1,0,3,1125,29,59,89,179,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",136,1.97090844821492
"none","within an hour",1,0.69,"f","t","t","Chinatown","t","Apartment","Entire home/apt",2,"2","2",2,"Real Bed",361,1000,3500,100,100,1,0,10,1125,9,39,69,344,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","moderate","f","f",13,1.97090844821492
"none","within an hour",1,1,"f","t","t","Chinatown","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",225,1000,3500,100,100,1,0,1,4,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within a few hours",0.93,0.96,"f","t","t","Chinatown","f","Apartment","Entire home/apt",6,"1","2",2,"Real Bed",255,1000,3500,100,100,1,0,1,1125,0,0,0,0,62,86,9,9,9,10,9,9,"f","t","strict","f","f",1,10.69
"none","within an hour",1,0.36,"f","t","t","Chinatown","t","Apartment","Entire home/apt",7,"2","3",3,"Real Bed",119,1000,3500,100,119,1,0,2,1125,10,40,67,342,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",25,1.97090844821492
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",219,1000,3500,100,100,1,0,15,1125,29,59,89,179,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",136,1.97090844821492
"none","within a few hours",0.9,0.84,"f","t","t","Chinatown","t","Loft","Entire home/apt",4,"1","2",2,"Real Bed",299,1400,5500,100,100,4,25,2,1125,1,23,52,52,50,92,9,8,10,10,9,9,"f","f","strict","f","f",1,1.72
"none","within an hour",1,0.36,"f","t","t","Chinatown","t","Apartment","Entire home/apt",5,"2","2",2,"Real Bed",119,1000,3500,100,119,1,0,2,1125,23,53,78,353,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",25,1.97090844821492
"none","within a few hours",0.96,0.68,"f","t","t","Chinatown","t","Apartment","Entire home/apt",3,"1","1",2,"Real Bed",199,1000,3500,100,100,1,0,7,1125,30,60,90,148,1,100,10,10,10,10,8,8,"f","f","moderate","f","t",61,0.42
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",5,"2","2",2,"Real Bed",319,1000,3500,100,100,1,0,15,1125,29,59,89,179,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",136,1.97090844821492
"none","within a few hours",0.92,0.67,"f","t","f","Chinatown","t","Apartment","Private room",2,"1","1",1,"Real Bed",93,1000,3500,100,5,0,5,1,5,0,11,41,41,2,60,10,6,6,7,8,6,"f","f","flexible","f","f",2,1.76
"none","within a few hours",0.96,0.68,"f","t","t","Chinatown","t","Apartment","Entire home/apt",3,"1","1",2,"Real Bed",199,1000,3500,100,100,1,0,7,1125,30,60,90,148,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","moderate","f","t",61,1.97090844821492
"none","within a few hours",0.98,0.55,"f","t","t","Chinatown","t","Apartment","Entire home/apt",5,"2","2",2,"Real Bed",299,1000,3500,100,100,1,0,3,1125,29,59,89,179,2,100,9,10,10,10,10,10,"f","f","strict","f","f",136,0.25
"none","within a few hours",0.89,0.45,"f","t","t","Chinatown","t","Apartment","Entire home/apt",4,"2","2",2,"Real Bed",349,1000,8650,100,150,1,0,3,1125,29,59,89,364,7,97,9,10,9,9,10,9,"f","f","super_strict_30","f","t",79,0.17
"none","within an hour",1,1,"f","t","f","North End","f","Condominium","Entire home/apt",1,"1","1",2,"Real Bed",275,1000,3500,100,100,1,0,1,1125,0,0,4,279,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within an hour",1,1,"f","t","f","North End","t","Apartment","Entire home/apt",4,"2","2",4,"Real Bed",299,1000,3500,100,95,6,25,2,60,1,3,3,70,1,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","t","strict","f","f",10,1
"none","within an hour",1,0.19,"f","t","t","North End","t","Boat","Entire home/apt",10,"2","3",6,"Real Bed",375,1000,3500,100,197,2,37,2,365,28,54,58,333,13,94,9,10,10,9,10,10,"f","f","strict","f","f",5,0.2
"none","within an hour",1,1,"f","t","t","North End","t","Apartment","Entire home/apt",4,"1","1",2,"Real Bed",140,925,2800,200,100,1,0,5,1125,2,7,14,248,16,96,10,10,10,10,10,9,"f","f","strict","f","f",2,0.66
"none","within an hour",1,1,"f","t","f","North End","t","Apartment","Shared room",1,"1.22164659759171","1",1,"Real Bed",35,1000,3500,1000,100,1,0,1,1125,3,3,3,4,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within a few hours",0.93,0.89,"f","t","f","North End","f","Apartment","Private room",2,"1","1",1,"Real Bed",159,1000,3500,100,100,1,0,1,1125,10,30,59,334,4,100,10,10,10,10,10,10,"f","f","flexible","f","f",1,4
"none","within an hour",1,0.89,"f","t","f","North End","f","Apartment","Private room",1,"1","1",1,"Real Bed",84,1000,3500,100,100,1,0,1,1125,0,0,0,0,29,95,10,9,10,10,10,10,"f","f","flexible","f","f",1,2.6
"none","within an hour",1,1,"f","t","f","North End","t","Apartment","Private room",1,"1","1",1,"Couch",100,1000,3500,100,100,1,0,1,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within an hour",1,1,"f","t","t","North End","t","Apartment","Entire home/apt",4,"1","2",2,"Real Bed",125,1000,3500,100,15,1,0,30,90,0,0,0,0,1,80,10,6,6,10,10,10,"f","f","flexible","f","f",1,0.14
"none","within a day",1,1,"f","t","f","North End","t","Condominium","Entire home/apt",2,"1","1",1,"Real Bed",150,875,2750,100,50,2,25,2,1125,1,13,30,86,16,93,9,9,10,10,10,9,"f","f","strict","f","f",1,2.03
"none","within an hour",1,0.9,"t","t","f","North End","f","Apartment","Private room",1,"1","1",1,"Real Bed",79,450,3500,100,100,1,0,1,1125,0,0,0,0,47,98,10,10,10,10,10,10,"f","f","flexible","f","f",1,3.96
"none","within an hour",1,0.99,"t","t","t","North End","t","Apartment","Entire home/apt",6,"1","2",2,"Real Bed",320,1000,3500,450,100,4,25,3,30,15,34,64,329,7,94,10,9,10,10,10,9,"f","t","strict","f","f",15,5.53
"none","within a few hours",1,0.61,"t","t","t","North End","t","Apartment","Entire home/apt",2,"1","1",2,"Real Bed",180,1000,3500,100,80,2,0,2,1125,3,24,54,144,25,97,10,10,10,10,10,10,"f","f","strict","f","f",1,3.16
"none","within an hour",1,0.86,"f","t","f","North End","t","Apartment","Entire home/apt",3,"1","0",1,"Real Bed",150,1000,3500,100,100,1,0,2,1125,0,0,5,225,2,100,10,10,10,10,10,10,"f","f","strict","f","f",1,2
"none","within an hour",1,1,"f","t","t","North End","t","Apartment","Entire home/apt",3,"1","1",2,"Real Bed",125,1000,5500,250,80,2,10,1,1125,3,10,40,72,140,94,10,10,10,10,10,9,"f","f","strict","f","f",1,6.37
"none","within an hour",1,1,"f","t","f","North End","t","Apartment","Entire home/apt",2,"1","1",1,"Real Bed",145,1000,3500,100,25,1,0,1,1125,0,0,0,0,6,100,10,10,10,10,10,10,"f","t","flexible","f","f",1,0.97
"none","within an hour",1,1,"f","t","t","North End","t","Apartment","Entire home/apt",2,"1","1",1,"Real Bed",125,900,3100,100,45,1,0,1,1125,3,13,40,315,281,88,9,8,10,10,10,9,"f","t","strict","f","f",6,6.83
"none","within a few hours",1,1,"f","t","t","North End","t","House","Entire home/apt",2,"1","1",1,"Real Bed",171,1000,3500,500,100,1,0,7,180,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",1,1.97090844821492
